"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 05 19:16:11 MSK 2025","Fri Dec 05 19:16:11 MSK 2025","0","tests","test_order_page","TestOrderPage","","","Тест: Заказ самоката через верхнюю кнопку с набором данных 1",""
"broken","Fri Dec 05 19:15:26 MSK 2025","Fri Dec 05 19:15:26 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Ответы на вопросы в разделе 'Вопросы о важном'",""
"broken","Fri Dec 05 19:16:00 MSK 2025","Fri Dec 05 19:16:00 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Логотип Самоката ведет на главную страницу",""
"broken","Fri Dec 05 19:15:37 MSK 2025","Fri Dec 05 19:15:37 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Ответы на вопросы в разделе 'Вопросы о важном'",""
"broken","Fri Dec 05 19:15:48 MSK 2025","Fri Dec 05 19:15:48 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Ответы на вопросы в разделе 'Вопросы о важном'",""
"broken","Fri Dec 05 19:15:54 MSK 2025","Fri Dec 05 19:15:54 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Ответы на вопросы в разделе 'Вопросы о важном'",""
"broken","Fri Dec 05 19:16:28 MSK 2025","Fri Dec 05 19:16:28 MSK 2025","0","tests","test_order_page","TestOrderPage","","","Тест: Заказ самоката через нижнюю кнопку с набором данных 2",""
"broken","Fri Dec 05 19:15:31 MSK 2025","Fri Dec 05 19:15:31 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Ответы на вопросы в разделе 'Вопросы о важном'",""
"broken","Fri Dec 05 19:15:42 MSK 2025","Fri Dec 05 19:15:42 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Ответы на вопросы в разделе 'Вопросы о важном'",""
"broken","Fri Dec 05 19:16:40 MSK 2025","Fri Dec 05 19:16:40 MSK 2025","0","tests","test_order_page","TestOrderPage","","","Тест: Весь флоу заказа с разными точками входа",""
"broken","Fri Dec 05 19:16:05 MSK 2025","Fri Dec 05 19:16:05 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Логотип Яндекса открывает главную страницу Дзена",""
"broken","Fri Dec 05 19:16:22 MSK 2025","Fri Dec 05 19:16:22 MSK 2025","0","tests","test_order_page","TestOrderPage","","","Тест: Заказ самоката через верхнюю кнопку с набором данных 2",""
"broken","Fri Dec 05 19:15:20 MSK 2025","Fri Dec 05 19:15:20 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Ответы на вопросы в разделе 'Вопросы о важном'",""
"broken","Fri Dec 05 19:16:38 MSK 2025","Fri Dec 05 19:16:38 MSK 2025","0","tests","test_order_page","TestOrderPage","","","Тест: Весь флоу заказа с разными точками входа",""
"broken","Fri Dec 05 19:16:37 MSK 2025","Fri Dec 05 19:16:37 MSK 2025","0","tests","test_order_page","TestOrderPage","","","Тест: Весь флоу заказа с разными точками входа",""
"broken","Fri Dec 05 19:15:15 MSK 2025","Fri Dec 05 19:15:15 MSK 2025","0","tests","test_main_page","TestMainPage","","","Тест: Ответы на вопросы в разделе 'Вопросы о важном'",""
"broken","Fri Dec 05 19:16:34 MSK 2025","Fri Dec 05 19:16:34 MSK 2025","0","tests","test_order_page","TestOrderPage","","","Тест: Весь флоу заказа с разными точками входа",""
"broken","Fri Dec 05 19:16:17 MSK 2025","Fri Dec 05 19:16:17 MSK 2025","0","tests","test_order_page","TestOrderPage","","","Тест: Заказ самоката через нижнюю кнопку с набором данных 1",""
